Day,AnimalsCount,GrassCount,FreeFields,AvgAnimalEnergy,AvgDaysAlive,AvgChildCount,MostPopularGen
88,57,2625,2375,195.27777777777777,13.89183646191746,1.5925925925925926,[6  0  4  0  1  3  2  6  5  5]
89,62,2643,2357,189.21052631578948,13.89183646191746,1.6140350877192982,[6  0  4  0  1  3  2  6  5  5]
90,68,2661,2339,178.06451612903226,13.89183646191746,1.6451612903225807,[6  0  4  0  1  3  2  6  5  5]
91,73,2677,2323,168.2089552238806,13.882918097298287,1.6567164179104477,[6  0  4  0  1  3  2  6  5  5]
92,77,2693,2307,157.8082191780822,13.882918097298287,1.6849315068493151,[6  0  4  0  1  3  2  6  5  5]
93,81,2710,2290,155.85526315789474,13.829437023686484,1.7105263157894737,[6  0  4  0  1  3  2  6  5  5]
94,83,2728,2272,149.50617283950618,13.829437023686484,1.728395061728395,[6  0  4  0  1  3  2  6  5  5]
95,88,2741,2259,153.76543209876544,14.140044937811501,1.7530864197530864,[6  0  4  0  1  3  2  6  5  5]
96,89,2757,2243,148.8372093023256,14.13778614849196,1.7906976744186047,[6  0  4  0  1  3  2  6  5  5]
97,93,2775,2225,148.25842696629215,14.13778614849196,1.797752808988764,[6  0  4  0  1  3  2  6  5  5]
98,96,2791,2209,148.02197802197801,14.120415367598953,1.8131868131868132,[6  0  4  0  1  3  2  6  5  5]
99,103,2808,2192,144.01041666666666,14.120415367598953,1.8229166666666667,[6  0  4  0  1  3  2  6  5  5]
100,106,2828,2172,138.77450980392157,14.077615260133227,1.8431372549019607,[6  0  4  0  1  3  2  6  5  5]
101,110,2846,2154,137.35849056603774,14.077615260133227,1.849056603773585,[6  0  4  0  1  3  2  6  5  5]
102,116,2863,2137,137.5462962962963,14.056719693773847,1.8703703703703705,[6  0  4  0  1  3  2  6  5  5]
103,126,2881,2119,131.91304347826087,14.056362966140048,1.8869565217391304,[6  0  4  0  1  3  2  6  5  5]
104,128,2898,2102,126.63934426229508,14.378566190466165,1.8934426229508197,[6  0  4  0  1  3  2  6  5  5]
105,133,2916,2084,125.27777777777777,14.334491574665412,1.8968253968253967,[6  0  4  0  1  3  2  6  5  5]
106,137,2932,2068,122.53787878787878,14.332663751853033,1.9090909090909092,[4  1  4  4  4  4  3  0  2  0]
107,145,2952,2048,123.95522388059702,14.380546777089421,1.9253731343283582,[4  1  4  4  4  4  3  0  2  0]
108,152,2968,2032,118.91608391608392,14.396822688877467,1.937062937062937,[4  1  4  4  4  4  3  0  2  0]
109,160,2983,2017,115.43046357615894,14.380491810565557,1.9470198675496688,[4  1  4  4  4  4  3  0  2  0]
110,170,2997,2003,112.89308176100629,14.816526410516868,1.8930817610062893,[4  1  4  4  4  4  3  0  2  0]
111,177,3014,1986,111.1144578313253,14.933780333139378,1.8674698795180722,[4  1  4  4  4  4  3  0  2  0]
112,181,3026,1974,109.01734104046243,14.989281917521984,1.8323699421965318,[4  1  4  4  4  4  3  0  2  0]
113,184,3038,1962,109.12429378531074,15.147350226549968,1.8022598870056497,[4  1  4  4  4  4  3  0  2  0]
114,189,3050,1950,110.33519553072625,15.183819710279298,1.8156424581005586,[4  1  4  4  4  4  3  0  2  0]
115,194,3065,1935,107.88770053475936,15.216518045807485,1.8235294117647058,[4  1  4  4  4  4  3  0  2  0]
116,203,3081,1919,110.29569892473118,15.342967697591765,1.8225806451612903,[4  1  4  4  4  4  3  0  2  0]
117,213,3093,1907,104.225,15.426200672964073,1.83,[4  1  4  4  4  4  3  0  2  0]
118,221,3106,1894,100.78571428571429,15.481753490177057,1.8523809523809525,[4  1  4  4  4  4  3  0  2  0]
119,228,3117,1883,97.8082191780822,15.446614044727204,1.8630136986301369,[4  1  4  4  4  4  3  0  2  0]
120,237,3132,1868,98.45454545454545,15.581900922117178,1.8409090909090908,[4  1  4  4  4  4  3  0  2  0]
121,247,3139,1861,94.93478260869566,15.809494690002325,1.8217391304347825,[4  1  4  4  4  4  3  0  2  0]
122,253,3146,1854,91.61825726141079,15.716939850171299,1.8464730290456433,[4  1  4  4  4  4  3  0  2  0]
123,262,3153,1847,89.08,15.741052058480525,1.844,[4  1  4  4  4  4  3  0  2  0]
124,265,3157,1843,87.55859375,15.784729334599568,1.87109375,[4  1  4  4  4  4  3  0  2  0]
125,266,3168,1832,87.16216216216216,15.803522179940813,1.8841698841698842,[4  1  4  4  4  4  3  0  2  0]
126,271,3180,1820,87.99610894941634,15.83078369989153,1.8715953307392996,[4  1  4  4  4  4  3  0  2  0]
127,272,3188,1812,87.79069767441861,16.058656100628475,1.8410852713178294,[4  1  4  4  4  4  3  0  2  0]
